folder_name,input_folder,output_folder
1013A_914889.0895,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1013A_914889.0895,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1013A_914889.0895
1014A_352957.6153,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1014A_352957.6153,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1014A_352957.6153
1015A_306548.4397,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1015A_306548.4397,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1015A_306548.4397
1016A_386637.1371,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1016A_386637.1371,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1016A_386637.1371
1017A_368412.9264,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1017A_368412.9264,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1017A_368412.9264
1018A_627011.2458,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1018A_627011.2458,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1018A_627011.2458
1019A_572044.0935,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1019A_572044.0935,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1019A_572044.0935
101A_422542.4218,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/101A_422542.4218,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/101A_422542.4218
1020A_728255.18,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1020A_728255.18,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1020A_728255.18
1021A_494429.9598,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1021A_494429.9598,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1021A_494429.9598
1022A_873603.8217,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1022A_873603.8217,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1022A_873603.8217
1023A_936117.7608,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1023A_936117.7608,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1023A_936117.7608
1024A_472438.9914,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1024A_472438.9914,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1024A_472438.9914
1025A_325479.4918,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1025A_325479.4918,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1025A_325479.4918
1026A_106054.1296,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1026A_106054.1296,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1026A_106054.1296
1027A_162328.8562,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1027A_162328.8562,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1027A_162328.8562
1028A_759519.212,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1028A_759519.212,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1028A_759519.212
1029A_615005.7255,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1029A_615005.7255,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1029A_615005.7255
102A_692488.0301,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/102A_692488.0301,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/102A_692488.0301
1030A_351276.6642,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1030A_351276.6642,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1030A_351276.6642
1031A_996387.9781,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1031A_996387.9781,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1031A_996387.9781
1032A_622.2401,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1032A_622.2401,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1032A_622.2401
1033A_964042.7982,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1033A_964042.7982,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1033A_964042.7982
1034A_711256.6864,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1034A_711256.6864,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1034A_711256.6864
1035A_404755.1199,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1035A_404755.1199,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1035A_404755.1199
1036A_785167.8951,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1036A_785167.8951,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1036A_785167.8951
1037A_907802.0899,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1037A_907802.0899,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1037A_907802.0899
1038A_696821.2168,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1038A_696821.2168,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1038A_696821.2168
1039A_586021.2567,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1039A_586021.2567,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1039A_586021.2567
103A_594257.6958,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/103A_594257.6958,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/103A_594257.6958
1040A_814428.7779,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1040A_814428.7779,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1040A_814428.7779
1041A_215.212,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1041A_215.212,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1041A_215.212
1042A_702784.9024,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1042A_702784.9024,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1042A_702784.9024
1043A_919682.9064,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1043A_919682.9064,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1043A_919682.9064
1044A_801113.5921,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1044A_801113.5921,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1044A_801113.5921
1045A_202298.257,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1045A_202298.257,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1045A_202298.257
1046A_837827.3991,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1046A_837827.3991,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1046A_837827.3991
1047A_279936.0636,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1047A_279936.0636,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1047A_279936.0636
1048A_461946.6327,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1048A_461946.6327,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1048A_461946.6327
1049A_502310.8409,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1049A_502310.8409,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1049A_502310.8409
104A_192753.273,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/104A_192753.273,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/104A_192753.273
1050A_390017.9584,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1050A_390017.9584,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1050A_390017.9584
1051A_243972.4916,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1051A_243972.4916,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1051A_243972.4916
1052A_635119.7482,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1052A_635119.7482,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1052A_635119.7482
1053A_690770.6063,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1053A_690770.6063,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1053A_690770.6063
1054A_702799.7177,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1054A_702799.7177,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1054A_702799.7177
1055A_545088.922,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1055A_545088.922,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1055A_545088.922
1056A_148635.8422,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1056A_148635.8422,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1056A_148635.8422
1057A_140198.0121,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1057A_140198.0121,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1057A_140198.0121
1058A_842748.7204,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1058A_842748.7204,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1058A_842748.7204
1059A_455234.7214,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1059A_455234.7214,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1059A_455234.7214
105A_189599.9816,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/105A_189599.9816,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/105A_189599.9816
1060A_629301.9832,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1060A_629301.9832,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1060A_629301.9832
1061A_707793.0424,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1061A_707793.0424,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1061A_707793.0424
1062A_735153.5777,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1062A_735153.5777,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1062A_735153.5777
1063A_310064.7385,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1063A_310064.7385,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1063A_310064.7385
1064A_677333.7005,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1064A_677333.7005,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1064A_677333.7005
1065A_476462.8553,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1065A_476462.8553,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1065A_476462.8553
1066A_851057.1278,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1066A_851057.1278,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1066A_851057.1278
1067A_303016.4429,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1067A_303016.4429,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1067A_303016.4429
1068A_249938.6043,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1068A_249938.6043,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1068A_249938.6043
1069A_176855.9463,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1069A_176855.9463,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1069A_176855.9463
106A_178061.1069,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/106A_178061.1069,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/106A_178061.1069
1070A_564046.0967,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1070A_564046.0967,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1070A_564046.0967
1071A_936730.249,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1071A_936730.249,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1071A_936730.249
1072A_628504.5678,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1072A_628504.5678,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1072A_628504.5678
1073A_324996.2879,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1073A_324996.2879,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1073A_324996.2879
1074A_736359.6026,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1074A_736359.6026,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1074A_736359.6026
1075A_558976.0024,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1075A_558976.0024,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1075A_558976.0024
1076A_983099.677,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1076A_983099.677,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1076A_983099.677
1077A_879620.1463,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1077A_879620.1463,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1077A_879620.1463
1078A_885193.8996,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1078A_885193.8996,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1078A_885193.8996
1079A_402416.3631,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1079A_402416.3631,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1079A_402416.3631
107A_298369.1435,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/107A_298369.1435,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/107A_298369.1435
1080A_713452.4906,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1080A_713452.4906,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1080A_713452.4906
1081A_180595.2846,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1081A_180595.2846,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1081A_180595.2846
1082A_478393.4776,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1082A_478393.4776,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1082A_478393.4776
1083A_931.7814,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1083A_931.7814,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1083A_931.7814
1084A_648910.7592,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1084A_648910.7592,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1084A_648910.7592
1085A_518594.6359,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1085A_518594.6359,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1085A_518594.6359
1086A_357700.218,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1086A_357700.218,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1086A_357700.218
1087A_148101.6979,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1087A_148101.6979,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1087A_148101.6979
1088A_992592.4116,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1088A_992592.4116,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1088A_992592.4116
1089A_195032.6196,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1089A_195032.6196,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1089A_195032.6196
108A_707774.7837,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/108A_707774.7837,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/108A_707774.7837
1090A_624250.7715,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1090A_624250.7715,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1090A_624250.7715
1091A_178001.1411,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1091A_178001.1411,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1091A_178001.1411
1092A_535220.223,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1092A_535220.223,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1092A_535220.223
1093A_889721.4506,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1093A_889721.4506,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1093A_889721.4506
1094A_699296.5191,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1094A_699296.5191,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1094A_699296.5191
1095A_661043.0674,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1095A_661043.0674,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1095A_661043.0674
1096A_614945.1779,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1096A_614945.1779,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1096A_614945.1779
1097A_434803.5885,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1097A_434803.5885,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1097A_434803.5885
1098A_999055.4798,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1098A_999055.4798,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1098A_999055.4798
1099A_948078.8452,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1099A_948078.8452,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1099A_948078.8452
109A_546501.4297,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/109A_546501.4297,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/109A_546501.4297
10A_656404.9875,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/10A_656404.9875,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/10A_656404.9875
1100A_581988.9762,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1100A_581988.9762,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1100A_581988.9762
1101A_175514.8185,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1101A_175514.8185,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1101A_175514.8185
1102A_882958.5146,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1102A_882958.5146,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1102A_882958.5146
1103A_285006.7623,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1103A_285006.7623,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1103A_285006.7623
1104A_559587.8875,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1104A_559587.8875,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1104A_559587.8875
1105A_990256.3019,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1105A_990256.3019,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1105A_990256.3019
1106A_202055.7855,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1106A_202055.7855,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1106A_202055.7855
1107A_940629.7507,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1107A_940629.7507,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1107A_940629.7507
1108A_324424.6627,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1108A_324424.6627,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1108A_324424.6627
1109A_170004.4436,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1109A_170004.4436,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1109A_170004.4436
110A_650713.9346,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/110A_650713.9346,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/110A_650713.9346
1110A_457358.1287,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1110A_457358.1287,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1110A_457358.1287
1111A_230632.3818,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1111A_230632.3818,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1111A_230632.3818
1112A_969101.439,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1112A_969101.439,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1112A_969101.439
1113A_446333.8625,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1113A_446333.8625,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1113A_446333.8625
1114A_841061.403,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1114A_841061.403,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1114A_841061.403
1115A_264293.6377,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1115A_264293.6377,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1115A_264293.6377
1116A_822958.4668,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1116A_822958.4668,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1116A_822958.4668
1117A_481237.6652,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1117A_481237.6652,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1117A_481237.6652
1118A_360994.709,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1118A_360994.709,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1118A_360994.709
1119A_349000.0095,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1119A_349000.0095,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1119A_349000.0095
111A_760921.401,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/111A_760921.401,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/111A_760921.401
1120A_787893.6935,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1120A_787893.6935,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1120A_787893.6935
1121A_234750.4157,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1121A_234750.4157,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1121A_234750.4157
1122A_741465.0494,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1122A_741465.0494,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1122A_741465.0494
1123A_665048.8092,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1123A_665048.8092,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1123A_665048.8092
1124A_658567.1554,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1124A_658567.1554,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1124A_658567.1554
1125A_134647.3441,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1125A_134647.3441,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1125A_134647.3441
1126A_139209.2249,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1126A_139209.2249,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1126A_139209.2249
1127A_773126.0317,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1127A_773126.0317,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1127A_773126.0317
1128A_448102.7663,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1128A_448102.7663,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1128A_448102.7663
1129A_827435.9886,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1129A_827435.9886,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1129A_827435.9886
112A_632182.6076,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/112A_632182.6076,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/112A_632182.6076
1130A_720850.0948,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1130A_720850.0948,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1130A_720850.0948
1131A_839382.5498,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/input/1131A_839382.5498,/home/linux/IHCPs/dataset//dataset_ptrh_sin_1500/output/1131A_839382.5498
